author,thesis_title,class,paragraph,score_slowness,score_material,score_environmental_crisis,score_natural_world,score_equitable_design,score_stewardship,score_more_than_human
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Public Space and Deliberative Democracy Deliberative democracy is a form of democracy in which deliberation is central to decision-making.25 Compared to representative democracy, in which elective representatives hold the power to make a decision for the larger group, deliberative democracy gives the opportunity to participants to have deliberation. Reasonable arguments and diverse points of view are needed in a deliberative democracy system.",0,0,0,0,60,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"When first developed, the Internet was an ideal public open platform to converge many voices equally, an instantiation of Cyber-utopianism, the belief that online emancipatory.26 communication is in itself As Douglas Rushkoff’s states, the Internet “fosters communication, collaboration, sharing, helpfulness, and community (…) The ideas, information, and applications now launching on Web sites around the world capitalize on the transparency, usability, and accessibility",0,0,0,0,55,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"25 Landemore, HÉLÈNE (2017). ""Deliberative Democracy as Open, Not ( Just) Representative Democracy"". Dædalus, the Journal of the American Academy of Arts & Sciences. Stepehn Wilson, “Information Arts (2002)” p. 477 26",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"12 deliver.”27 that the internet was born to In a public space, opinion and comments are equally important. The socialits’ nostalgia of Athenian public discourse had a chance to revive virtually, where deliberative democracy could have a space. Below are the characteristics of a deliberative democracy.",0,0,0,0,60,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,● Information: The extent to which participants are given access to reasonably accurate information that they believe to be relevant to the issue ● Substantive balance: The extent to which arguments offered by one side or from one perspective are answered by considerations offered by those who hold other perspectives ● Diversity: The extent to which the major position in the public is represented by participants in the discussion ● Conscientiousness: The extent to which participants sincerely weigh the merits of the arguments ● Equal consideration: The extent to which arguments offered by all participants are considered on the merits regardless of which them”28 participants offer,0,0,0,0,65,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Those essential characteristics breed an environment for high quality discourses among individuals. Only with high quality of communications and interaction,",0,0,0,0,40,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"27 Rushkoff, Douglas (2002). Renaissance Now! Media Ecology and the New Global Narrative. Hampton Press. pp. 26–28. James Fishkin, “When the People speak.” (Oxford: Oxford University Press.) pp. 160f. 28 ISBN 978-0-19-957210-6.",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"13 misinformation can be reduced effectively. Hannah Arendt in her philosophical The work, Human Condition, establishes “first, that everything that appears in public can be seen and heard by everybody and has the widest possible publicity. For us, appearance — something that is being seen and heard by others as well as reality.”29 by ourselves — constitutes",0,0,0,0,50,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"However, the dream of Cyber-utopian faded as mass communication developed. Under the current digital environment, the power is the hands of few majorities representing the tech giant companies, influencers with millions of followers, and main-stream media. Corporations often manipulate users for profit. The value of truthfulness.30 information relies more on its ability to ""go viral"" rather than it's While social media offer a space for individuals to express themselves, an unequal relationship between discourse participants is created by the emphasis on followers and impact. The power deriving from access to communication channels has not been equally distributed. The unequal distribution of this power polarizes participants. Thus individual voices are the key to an equal networking world. How could we protect and echo the voice of the minority is an essential question.",0,0,0,0,65,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,Literature Review Medium as Fragmented Information Carrier,0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"29 Hannah Arendt, “The Human Condition”(Second ed.)( University of Chicago Press.) ISBN 978-0-226-92457-1. https://www.urbandictionary.com/define.php?term=go%20viral. 30 14 death”31 Published in 1985, the book “Amusing ourselves to discusses the erosive effect of television on our public discourse in America. It investigates what happened in technology, education, society with the subject of entertainment. The writer, Neil Postman also cited from a book called “Brave New World”32, which depicted a future situation with the public power weakened by distractions— entertainment, leisure, and laughter33 to display his concern on the amusing media and content.",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Neil Postman compared the different versions from “1984” and “Brave New World”, arguing “what we desire will ruin us.” “Distraction” is the keyword to express the background of powerless public discourse. It is also related to the algorithm that recommends users with what they desire to form filter bubbles. From the television to the algorithm, the comfort zones they provide control the public expression power, because of “man’s almost infinite appetite for 34 distractions.”",40,0,0,0,30,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"31 Neil Postman, Amusing Ourselves to Death: Public Discourse in the Age of Showbusiness. Methuen, 2007. 32 Aldous Huxley, Brave New World: with the Essay ""Brave New World Revisited"". Harper Perennial, 2010. 33 Dan Silvestre,“Lessons from Amusing Ourselves to Death by Neil Postman.” Medium, Medium, 11 Sept. 2018, medium.com/@dsilvestre/lessons-from-amusing-ourselves-to-death-by-neil-postman-962221ee6 22. 34 Neil Postman, Amusing Ourselves to Death.",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"15 day”35, From the book, Neil also brings out a content called ”the news of the describing the fact that new communications technologies have fragmented the information to suit the fragmented conversations between people. Indeed, the fragmented information loses the completeness logically, and will decrease content’s accuracy. In terms of conversation and discourse, Neil Postman compares the television to the conversation carrier. Within the carrier, the truth becomes related to the techniques of communication subjectively. As Neil Postman indicated,”A major new medium changes the structure of communications by creating new forms of truth-telling.” Thus, the carrier or the platform of the content takes significant roles in truth dissemination. For example, in the print era, truth-telling and public discourse was following logical and serious principles. However, the new technology commercialized the discourse to separate context from meanings.",35,0,0,0,30,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"In sum, with the fragmented information decontextualized by television and other new media now, “the news of the day” represents a message without coherence and logic. Under this climate, how to design new platforms to strengthen the public discourse power is a possible method to defend fragmented and amusing information.",40,0,0,0,35,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"16 The Mechanism of Serendipity Inspirations could be found in the article“Designing for Unexpected Encounters Experience.”36 with Digital Product: Case Studies of Serendipity as Felt In the article, the writer Rung-Huei Liang discussed how random mechanisms have been employed in the user experience in the digital products. In terms of the “aesthetics of interaction design”, serendipity provides more involvement, experience, and surprise to satisfy users' needs that usability and functionality could not apply. For example, users will choose the random mode when playing music on the player page to gain a sense of novelty even with familiar contents. Rung-Huei Liang stresses that serendipity is not only the consequence of the digital numerous content, but also an essential experiential quality in interaction design. By serendipity, the user would feel involved in the content, and will have a tendency to explore the relationship of unrelated information. Serendipity belongs to implicit interaction to connect unrelated content, which could be applied into the news feed mechanism to break the viewer’s filter bubble.",35,0,0,0,30,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Some significant elements of framing serendipity in digital product also could be implemented on public discourse platform, including “digital accident” and “sagacious discoveries”These two elements are proposed by André, Schraefel, et al. : the finding of unexpected information (digital accidents) and the making of",30,0,0,0,25,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"36R. -H Liang, (2012). Designing for unexpected encounters with digital products: Case studies of serendipity as felt experience. International Journal of Design, 6(1), 41-58. 17 discoveries).37 an intellectual leap (sagacious Unexpected information is the metaphor for news feed, and the intellectual leap is the reflection of thinking and consideration facing the news report. In the process that from finding unexpected information to making intellectual leap, public discourses would happen between more participants and are able to construct a rational and open climate.",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Designs in the Post-Truth Era (RTD)38 Research Through Design and design thinking processes constitute the primary methodology of this thesis. Design thinking was applied to the explorations of a visual language for this topic and in the process of prototyping ideas. Speculative design was used to explore the potential of fake news in a concept39. process of diverging and converging ideas related to this Each design project has gone through an iterative development process with different versions. During the iterations, I gain a deeper understanding and clarification of the project goal. Those projects’ output heavily relied on the participants’ feedback to provide insights. Context played important roles in the designs in the Post-Truth Era. The titles, the topics, the media, the motives, and the audiences are weaving together to construct the context of misinformation, which inspires",0,0,0,0,25,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"37 R. -H Liang, (2012). Designing for unexpected encounters with digital products: Case studies of serendipity as felt experience. 38 “Research Through Design.” https://www.researchthroughdesign.org/ “What is Design Thinking?” 39 Tim Brown, https://www.interaction-design.org/literature/topics/design-thinking",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,18 me to investigate more information from it. The diverse contexts of misinformation reveals the possibilities to apply design thinking to investigate.,0,0,0,0,25,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"News Flashlight is a 60-days project including a satire website and a publication output to explore fake news visual language. The project uses a newspaper layout containing 60 fake news reporting styles. The project lasted for 8 weeks. From the research, I conclude and categorize the templates of typical fake news visual language as different topics, such as “source agnostic”,” Half real, half fake”, ”Breaking headline”, and etc. The 60 projects are shaped by those topics and News apply the template into some latest news then. Thus, the vibe of the Flashlight is ironic and satirical. Applying critical and creative thinking is a method to understand, visualize, and describe the complexity of fake news to reduce them.",0,0,0,0,30,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,60-days Figure 1: Project “News Flashlight” contains different kinds of fake news investigation.,0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"19 DAILY NEWS is a cultural probe used to research a target audience's perception of fake news in a daily context. The project aims to understand the users’ subjective attitudes on controversial topics. Emoji and degrees of recognition reflect essential parts of viewers’ attitudes on fake news topics. Whether the choice of emoji and comments from one person on the same topic reflects the consistency of their attitude or not is the research goal. The participants are asked to fill out two questionnaires that describe one topic content in different expressions. Then, the participants are asked to use emoji and the number which represent the degrees of recognition to fill their comments separately. The topic is the quantitative, their reflections are the variables. Showing interesting results, the research output indicates that people using emojis with vague meanings display less consistency on their attitudes.",0,0,0,0,30,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,Figure 2: Cultural Probe questionnaire parts and collected information.,0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,The result of the cultural probe informed the JOINTER project: a design response to the concept of visceral thinking and behavioral reflections. JOINTER,0,0,0,0,25,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"20 is a fake news generator app that enables users to collage symbolic elements to fabricate fake news within minutes. A satirical response arguing that the cost of fabricating fake news is low, thus judging the authenticity of a piece of news is the crucial step to reduce fake news. In this project, viewing fake news as a part of a larger system of disinformation, rather than an independent issue.",0,0,0,0,30,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,Figure 3: Fake news generator App pages layout.,0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Fragmented Reflection is a speculative design idea for an interactive exhibition exploring confirmation bias and isolation. The installation is constructed by a circular mirror folding upward to the structure and portraying content on the top of it. Participants perceive the content/image through the mirror, creating their own narrative from the fragmented part. This is the metaphor of the post-truth era, in which people are convinced by the fragment of a whole issue.",35,0,0,0,35,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,21 Figure 4: Fragmented Reflection is a speculative space installation.,0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"As serendipity becomes the keyword of my capstone project, SEEMS explores how to generate discussions among users from different backgrounds and aims to decrease the polarizing tendency of digital environments. Fake news is one of the most disputed issues in online discussions. Personalized news feed and personal confirmation bias, transform opinions into potential conflict, rather than supporting an open dialogue. Dialogue is needed to construct deliberative democracy. Spaces for open dialogue need to build on respectful climate, enabling individuals to interact with a larger group of people, and thus Architecture encountering diverse perspectives. By creating an of Serendipity the discussion can be fostered. Architecture of Serendipity is a system or common space to encourage people to mingle together. “Serendipity is also seen as a potential design principle for",0,0,0,0,55,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"22 online activities that would present a wide array of information and viewpoints, rather than just re-enforcing a user's opinion.”40",0,0,0,0,55,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,This project explores how to apply the idea of serendipity in a design artifact that distances itself from personalized content and platforms. It aims to stimulate the player’s habit to break their echo chamber and be interested in others perspectives. The project imagines a design instantiation of the principle of deliberative democracy.,35,0,0,0,55,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"SEEMS is a multiple-ending interactive video. Inspired by “Black Mirror: Bandersnatch,”4142 SEEMS is a choose-your-own-adventure story in which the users uncover the endings for themselves. The interactive video presents parallel endings that depend on participants’ choice. In the video, the structure branches the plot and lets the audience decide the narrative on their own. The viewer creates their own narratives based on their bias, interests, and emotions. They have the chance to restart the story and explore other paths. By restarting, serendipity is put into play, as other perspectives generate alternatives, formally",30,0,0,0,40,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Urbano Reviglio, Serendipity by Design? How to Turn from Diversity Exposure to 40 Diversity Experience to Face Filter Bubbles in Social Media, Internet Science: 4th International Conference, INSCI 2017, Thessaloniki, Greece, November 22-24, 2017, Proceedings (pp.281-300) “Black Mirror: Bandersnatch.” https://www.netflix.com/title/80988062 41 42Jackie Strause, 'Black Mirror' Bosses Unpack the Multiple 'Bandersnatch' Endings https://www.hollywoodreporter.com/live-feed/black-mirror-bandersnatch-endings-explain ed-1171556 23 questioning a single narrative approach.This multi-paths design has implications for Internet product designers. The possibilities that algorithms provide are not only in convenience but also in diversity. Dissolving users’ filter bubbles is a long-term design process, whose paths are necessary in the post-truth era.",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Conclusions Fake news is not a new issue for the publishing industry; historian Yuval Noah Harari states the evidence that humans are the only mammals inventing fictional survive.43 stories to cooperate with each other to In “The Role of Emotion in the Dissemination of ‘Fake News’ Axel Bruns explains ""Online (Mis)information may be assessed for its level of facticity, its intention misleading information created 44 or disseminated without manipulative or malicious intent.“ and this constructs my research area of context.",0,0,0,0,35,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"We are encountering a greater and greater volume of fake news today due to the unprecedented shifts in communication technologies. We are in the post-truth era, where objective facts are less influential in shaping public opinion than appeals to emotion and personal belief. When judging the authenticity of a piece of news, confirmation biases influence our attitude. “Subjective truth is a truth based on a person's perspective, feelings, or opinions. Everything we know is",0,0,0,0,45,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"43 Yuval Noah Harari, “Cover of Sapiens: A Brief History of Humankind, Chapter two: ISBN 9780099590088.” THE TREE OF KNOWLEDGE.” 44 “Joneralism, Fake news, and disinformation”(United Nations Educational, Scientific and Cultural Organization, 2018)",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"24 based on our input - our senses, our perception. Thus, everything we know is subjective. All truths are subjective.” 45When discussing the authenticity of the news, our confirmation bias will lead us to the subjective truth we believe. Users' identities, including their interests, backgrounds, political stances are reflected in their understanding of truth. When discussing the authenticity of the news, our confirmation bias will lead us to the subjective truth we believe. Truth becomes Subjective Truth: “a truth based on a person's perspective, feelings, or opinions. Everything we know is based on our input - our senses, our perception. Thus, subjective.”46 everything we know is subjective. All truths are",0,0,0,0,35,0,0
